title,text,label
"U.S. Federal Reserve Keeps Interest Rates Steady Amid Inflation Data","The Federal Reserve announced on Wednesday that it will maintain current benchmark interest rates unchanged following its two-day policy meeting. Central bank officials cited continuing low unemployment rates and moderate progress towards bringing inflation to its target of two percent. Chairman Jerome Powell stated that future policy rate decisions will depend on incoming economic indicators and employment reports over the next quarter. Economists expect rate adjustments later this year depending on market conditions.","REAL"
"SHOCKING SECRET: Scientists Discover Miracle Herb That Instantly Cures All Diseases Overnight!","You won't believe what Big Pharma has been hiding from you for decades! Top underground researchers have finally revealed a secret ancient plant that completely cures diabetes, heart disease, and cancer in just 24 hours. Government officials are desperate to ban this information and suppress the miracle cure. Share this secret with everyone you know before this page gets taken down by authorities!","FAKE"
"NASA James Webb Space Telescope Captures Detailed Images of Distant Exoplanet Atmosphere","Astronomers using the James Webb Space Telescope have detected water vapor, carbon dioxide, and sulfur dioxide in the upper atmosphere of exoplanet WASP-39b, located approximately 700 light-years away from Earth. The spectrographic findings represent the most detailed chemical breakdown of a distant planet's atmosphere ever recorded, helping scientists understand how planets form and evolve in distant solar systems.","REAL"
"BREAKING: Secret Alien Spacecraft Found Buried Under Antarctic Ice Sheet!","Whistleblowers from top secret military facilities have leaked classified documents proving an extraterrestrial spaceship measuring five miles across was discovered deep beneath the ice in Antarctica. Scientists claim the ship has been powering secret underground bases for over fifty years. World leaders are meeting in secret to prepare for an imminent alien disclosure event!","FAKE"
"European Union Passes New Comprehensive Artificial Intelligence Act Regulations","The European Parliament has officially voted to enact landmark legislation regulating the development and deployment of artificial intelligence models across member states. The law establishes strict safety standards, transparency guidelines for generative AI systems, and prohibitions on biometric surveillance in public spaces. Tech companies operating within the EU will face heavy fines for non-compliance starting next year.","REAL"
"THIS WILL CHANGE EVERYTHING: Secret Government Energy Device Will Make Electricity Free For Everyone!","A rogue scientist has fled the country with blueprints for a quantum free-energy generator that produces unlimited zero-cost power out of thin air. Power utility companies are panicking and spending millions to buy up patents and destroy prototype units. Learn how you can build your own device at home using simple household items before the government deletes this video!","FAKE"
"World Health Organization Reports Global Decrease in Measles Transmission Rates","Global public health initiatives and increased childhood immunization coverage have led to a fifteen percent reduction in worldwide measles transmission over the past two years, according to a report published by the World Health Organization. Health experts emphasized that maintaining high vaccination rates remains vital to preventing localized outbreaks and protecting vulnerable populations.","REAL"
"URGENT WARNING: Tap Water In All Major Cities Transformed Into Toxic Mind Control Substance!","Chemical analysis secretly conducted by independent activists reveals that public water supplies contain synthetic nanoparticles designed to manipulate human emotions and decision-making. Doctors warning citizens about this danger have allegedly gone missing. Stop drinking city tap water immediately and purchase special neutralizing filters today!","FAKE"
"Tech Giant Unveils Next Generation Microchips Powered by 2nm Semiconductor Process","Leading semiconductor manufacturers announced the commercial production of 2-nanometer processor chips featuring over 50 billion transistors on a fingernail-sized piece of silicon. The technology promises a 15% increase in computational performance while reducing power consumption by up to 30% compared to current generation processors.","REAL"
"UNBELIEVABLE: Man Wins Lottery 10 Times In A Row Using Secret Mathematical Cheat Code!","A former math teacher claims he discovered a hidden formula in lottery algorithms that allows anyone to accurately predict winning numbers with 99 percent accuracy. Financial institutions attempted to ban his book, but the secret formula is finally available online for a limited time. Read this before it is removed!","FAKE"
"Global Renewable Energy Capacity Reaches Record High in Annual Climate Summary","Renewable power generation, led by solar and wind installations, expanded by 50 percent globally over the past twelve months according to the International Energy Agency. Falling equipment costs and supportive government policies pushed clean energy adoption ahead of fossil fuel projections, making renewables the primary source of new electricity generation worldwide.","REAL"
"PROOF AT LAST: Moon Landing Was Filmed On Secret Hollywood Soundstage!","Newly discovered film reels stored in a forgotten warehouse prove that astronauts never set foot on the moon in 1969. Audio recordings reveal film directors admitting that the lunar environment was constructed using studio props and special lighting effects. NASA officials have refused to comment on the shocking revelation.","FAKE"
"Researchers Develop New Battery Architecture Capable of Charging Electric Cars in 10 Minutes","Materials scientists at a leading research university have demonstrated a novel solid-state battery prototype that can achieve an 80% state of charge within ten minutes while retaining performance over 1,000 continuous charge cycles. The breakthrough utilizes a stabilized lithium-metal anode to prevent dendrite formation during rapid charging operations.","REAL"
"SHOCKING TRUTH: Cell Phone Towers Emitting Frequencies That Change Human DNA Overnight!","A secret study leaked by anonymous researchers confirms 5G networks emit electromagnetic frequencies that alter human genetic structure and cause unexplained tiredness. Wireless providers are allegedly bribing international health organizations to keep the public in the dark. Protect your family with special anti-radiation shields today!","FAKE"
"Central Banks Test Cross-Border Digital Currency Settlements for Global Payments","A consortium of major central banks successfully completed a pilot test utilizing central bank digital currencies for instantaneous cross-border financial transactions. The system demonstrated reduced transaction costs and eliminated traditional clearinghouse delays, paving the way for potential commercial adoption in international trade settlements.","REAL"
"YOU WON'T BELIEVE WHAT HAPPENED: Celebrity Reveals Secret Diet That Melts 30 Pounds In 3 Days!","Hollywood stars are furious after a famous actress accidentally revealed her private weight loss secret live on TV. Doctors claim this one simple kitchen ingredient burns fat faster than exercise without any dieting. Thousands of people are already using this trick before inventory runs out!","FAKE"
"Archaeologists Unearth 3,000-Year-Old Ancient Egyptian Temple Ruins in Luxor","An international team of archaeologists working along the Nile River in Luxor has uncovered the foundation of a previously unknown mortuary temple dating back to the New Kingdom period. Excavations yielded preserved relief carvings, hieroglyphic inscriptions, and ceremonial artifacts dedicated to the sun god Amun-Ra.","REAL"
"SECRET EXPOSED: World Leaders Building Huge Underground City To Survive Imminent Asteroid Strike!","Billionaires and government officials are quietly liquidating assets and moving into massive subterranean bunkers built deep inside mountains. Leaked satellite images show construction equipment working around the clock. The public is being kept in total ignorance while elites prepare for impact!","FAKE"
